id,product_id,buyer_id,order_id,rating,comment,images,seller_reply
019f3fc8-e323-7bdd-8022-e8176d87e5ad,019f3fc7-2a31-710d-8cfb-3179190c30c8,019f3fc6-ee10-7878-b7ac-458c26365f5f,019f3fc8-da8c-7314-9b93-b2113ddc88fd,3,"Great quality for the price, exactly as pictured.",[],We're sorry about the delay and will improve our shipping process.
019f3fc8-e600-7bf2-ba2f-a08ae573cfea,019f3fc7-4f6a-796a-b769-d1102a30d097,019f3fc6-ee10-7878-b7ac-458c26365f5f,019f3fc8-92f7-7df0-bfce-c39ba8900000,4,"Fantastic freshness and very well packed, highly recommended.",[],"Thanks for shopping with us, glad you enjoyed the produce!"
019f3fc8-e8dd-7864-a597-f8f8cc8e2578,019f3fc7-35a5-706b-8cc0-9ada38396f30,019f3fc6-eb33-7f8e-b93f-9963d0b441a0,019f3fc8-cf18-778c-8609-d2b64ca1a91f,5,Nice quality but delivery took a bit longer than expected.,[],We appreciate your feedback and hope to serve you again soon.
019f3fc8-ebba-72d5-be16-b34accceccf2,019f3fc7-3b5f-7143-8f73-4202813edb4e,019f3fc6-e856-7853-9f2a-ee64b91bbb1c,019f3fc8-c3a4-7cd0-8454-0da1a0993c19,4,"Fantastic freshness and very well packed, highly recommended.",[],
019f3fc8-ee97-7dd4-a051-dea23018237d,019f3fc7-6ee9-7788-a84a-b0f570af6c08,019f3fc6-eb33-7f8e-b93f-9963d0b441a0,019f3fc8-8d3d-76c4-abf5-ba53979674e1,4,"Excellent freshness, tastes just like homegrown produce.",[],
019f3fc8-f174-719c-ad96-f24d655258fc,019f3fc7-32c8-766d-bd88-67b39a508061,019f3fc6-eb33-7f8e-b93f-9963d0b441a0,019f3fc8-cf18-778c-8609-d2b64ca1a91f,5,"Excellent freshness, tastes just like homegrown produce.",[],
019f3fc8-f451-7bc9-8eb7-9c2021ebebb3,019f3fc7-4119-7733-837f-dda3bc79673f,019f3fc6-da05-7bb0-8910-141c407d2240,019f3fc8-59b3-7ce5-add6-f4224f943327,3,"Excellent freshness, tastes just like homegrown produce.",[],We appreciate your feedback and hope to serve you again soon.
019f3fc8-f72e-7345-aa4f-8ecc046546c1,019f3fc7-5524-7c08-bcfc-5203620cea41,019f3fc6-ee10-7878-b7ac-458c26365f5f,019f3fc8-92f7-7df0-bfce-c39ba8900000,4,"Decent quality, a couple of pieces were slightly bruised.",[],"Thanks for shopping with us, glad you enjoyed the produce!"
019f3fc8-fa0b-730b-8aca-8df55348d9ab,019f3fc7-4f6a-796a-b769-d1102a30d097,019f3fc6-dce2-74f6-81e2-073ed9ac6f89,019f3fc8-6527-7e6e-8d2e-0bec8fb84725,3,"Very fresh and delivery was fast, will definitely order again.",[],Thank you so much for your order and kind review!
019f3fc8-fce8-784a-a37e-c6213b591dbc,019f3fc7-43f6-79f2-bd9c-20ace5071553,019f3fc6-da05-7bb0-8910-141c407d2240,019f3fc8-59b3-7ce5-add6-f4224f943327,4,"Decent quality, a couple of pieces were slightly bruised.",[],"Thanks for shopping with us, glad you enjoyed the produce!"
019f3fc8-ffc5-75d0-9304-449d5423518a,019f3fc7-2754-75b7-b868-86f58ddb8d9f,019f3fc6-ee10-7878-b7ac-458c26365f5f,019f3fc8-da8c-7314-9b93-b2113ddc88fd,5,"Good value for money, will buy again next week.",[],"Thanks for shopping with us, glad you enjoyed the produce!"
019f3fc9-02a2-742a-824e-51ed86ecec8c,019f3fc7-46d3-7a9f-9112-221661990274,019f3fc6-da05-7bb0-8910-141c407d2240,019f3fc8-59b3-7ce5-add6-f4224f943327,5,Nice quality but delivery took a bit longer than expected.,[],"Thanks for shopping with us, glad you enjoyed the produce!"
019f3fc9-057f-7acd-b489-e714580e57e9,019f3fc7-43f6-79f2-bd9c-20ace5071553,019f3fc6-e856-7853-9f2a-ee64b91bbb1c,019f3fc8-c3a4-7cd0-8454-0da1a0993c19,5,"Excellent freshness, tastes just like homegrown produce.",[],Thank you so much for your order and kind review!
019f3fc9-085c-7bb1-a886-98dd85bedf0a,019f3fc7-2feb-7bda-a32b-4025a480151d,019f3fc6-eb33-7f8e-b93f-9963d0b441a0,019f3fc8-cf18-778c-8609-d2b64ca1a91f,5,"Decent quality, a couple of pieces were slightly bruised.",[],We appreciate your feedback and hope to serve you again soon.
019f3fc9-0b39-7066-af2c-5b0209a7bdf1,019f3fc7-5247-7de1-89d9-7df7e2761614,019f3fc6-da05-7bb0-8910-141c407d2240,019f3fc8-9b8e-789b-b313-bdc2b472d71e,4,"Excellent freshness, tastes just like homegrown produce.",[],
019f3fc9-0e16-7752-93ff-ab77c4e08dac,019f3fc7-4c8d-7da7-9c44-50a757b1e105,019f3fc6-da05-7bb0-8910-141c407d2240,019f3fc8-9b8e-789b-b313-bdc2b472d71e,4,"Good value for money, will buy again next week.",[],Thank you so much for your order and kind review!
019f3fc9-10f3-722e-b5f3-8634daff69f8,019f3fc7-46d3-7a9f-9112-221661990274,019f3fc6-e856-7853-9f2a-ee64b91bbb1c,019f3fc8-c3a4-7cd0-8454-0da1a0993c19,5,Nice quality but delivery took a bit longer than expected.,[],We're sorry about the delay and will improve our shipping process.
